code departement,CCMUC,DECUC_Q2,BREV,PACT,PPAT,PPEN,TP60
49,1107,18416,26.1,75.8,5.5,23.5,16.6
68,1706,22088,26.1,82.6,7.5,24.5,19.2
77,2268,19582,26.1,87.4,3.8,15.6,15.7
84,616,18242,26.2,72.8,11.6,24.6,18
23,1941,19254,26.2,61.7,9.2,38.4,18.2
53,6085,19209,26.2,67.9,10.7,31.8,18.3
37,819,19022,26.3,74,7.4,26.6,17.8
37,3903,19262,26.4,65.2,8.1,35.1,17.8
24,973,19580,26.5,59.9,8.7,40.4,18.6
38,1914,18552,26.5,71.6,7.4,28.1,17.3
26,257,18142,26.6,68.7,10.5,28.5,16.9
06,291,18800,26.6,73.2,8.9,26,18.3
46,2349,19424,26.7,60.4,11.5,37.7,17.8
92,6802,21432,26.7,88.8,7.9,18,19.6
01,408,27128,26.8,87.9,7.3,17.5,17.3
33,569,17696,26.8,62,8.1,35.7,17.9
95,1839,19516,26.8,84.5,5.6,19.2,17.6
17,8273,19364,26.8,60.8,12.2,37.8,18.3
69,424,18384,26.9,72,8.1,25.6,15.8
50,2926,18885,27,64.8,8.4,34.1,17.6
33,649,18206,27.1,71.9,5.5,28.1,17.6
02,796,18004,27.1,74.3,7.2,25.6,17.4
16,1920,19276,27.1,66,10,32.9,18.3
93,2559,19412,27.1,79.5,5.9,23.4,18.3
91,700,20305,27.2,79.6,8.4,25.1,20.6
13,949,18000,27.2,73.3,12.3,24,18.6
95,2727,19854,27.2,84.1,7.4,20.4,18.3
71,901,17898,27.3,60,9.2,39.5,18.6
78,1336,20356,27.3,91.6,4.6,15.1,19.2
41,1433,18754,27.3,59.9,11.3,37.9,18.8
77,1522,18472,27.3,69.3,9,29.4,17.2
04,1674,19284,27.3,60.9,10.6,37,17.9
81,6275,19274,27.3,58.8,12,38.6,19
54,1176,18712,27.4,68.2,9.5,29.7,18.8
73,5746,19258,27.4,69.3,11.8,29.1,18
18,8446,19654,27.4,66.2,9.7,33.6,19.2
42,667,18582,27.5,71.1,11.2,26.9,17.6
41,1590,18402,27.5,58.5,9.1,39.8,18.9
60,617,18456,27.6,72.4,5.1,27.6,18.4
18,873,17978,27.6,53.2,9.5,43.7,18.2
91,2586,19112,27.6,82.3,5.5,21.5,17.7
35,24996,20482,27.6,74.5,10.8,26.6,19.8
38,962,18034,27.7,71.7,6.2,26.5,16.7
38,15267,19934,27.7,74.8,10.9,25.2,19
83,6863,18656,27.8,63.7,8.7,35.6,19.5
72,20525,19328,27.8,66.6,9.4,33.2,19.7
69,4308,18706,27.9,73.8,7.6,26.1,17.6
31,51545,20400,27.9,80.3,11,21,19.4
40,2240,18346,28,56.9,12.1,39.5,18.6
45,2584,19348,28,71,7,30.2,18.4
14,13846,19614,28,69.4,10.8,30.7,19.8
09,1382,18874,28.1,59.6,10.2,37.7,19.5
76,1556,18317,28.2,67.7,5,31.7,19
88,941,18016,28.3,67.5,6.6,31.4,19.3
91,1114,18092,28.3,90.8,2.9,12.5,17.9
59,1526,19670,28.3,72.3,8.3,29.5,18.5
51,2401,18252,28.3,69.2,10.8,30.5,20
81,4730,18296,28.4,62.1,11.1,34.9,19.1
52,801,18254,28.5,65.5,8.4,33.8,19.9
44,951,17697,28.5,60.8,9.7,35.4,18.2
55,2253,18822,28.5,65.5,8.6,34.5,19.6
01,353,18299,28.6,68.3,10,29.4,18.7
65,1210,17092,28.6,59.6,10.7,36.2,18.5
69,4096,19574,28.6,72.9,9.8,28.1,19.6
93,4463,19702,28.6,83.7,6.3,21.2,20.8
37,14833,18956,28.6,70.1,10.1,29.8,19.9
56,6438,18296,28.7,64.1,8.8,34.1,19.2
71,1879,17584,28.8,58,8.3,39.9,19
